,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19
XC350663,-609.4408,-11.250208,-18.456415,0.8860535,-19.85607,5.8208356,-9.47785,-5.892246,-13.949519,-3.0117683,-10.72327,-4.5409656,-5.438098,-4.007082,-4.2986465,-1.2852105,-4.560506,0.44711965,-4.30728,3.0406876
XC413789,-350.06638,96.8686,-27.453074,5.013298,-1.3101788,27.89185,-7.910629,-5.2950516,-2.5526905,7.3161716,-7.041933,3.4595122,-0.17771675,-1.5182343,-4.6834946,0.3894099,-7.0739365,-2.206302,-3.8642926,0.22289401
XC114558,-355.75558,47.625656,-34.626728,3.6900651,-24.73517,2.7485304,-29.28123,-21.320719,-22.42619,-10.762607,-15.992384,-8.6074705,-6.9791455,-2.849356,-6.36446,-2.5955102,-6.391522,-3.0067234,-7.672008,-0.6057647
XC306320,-366.70923,146.18993,8.482422,12.947504,10.3530035,20.486149,3.6327612,6.735862,-3.8719378,6.417242,-2.138505,-0.80211127,-5.0192065,1.0047358,-2.4480703,5.346871,-0.6993523,2.095808,-3.191238,3.3150537
XC221648,-278.12704,130.02844,-51.58032,10.451125,-7.314926,7.478462,-10.301082,1.9340036,2.962242,16.548115,-0.57633084,6.1783895,7.413318,2.7163064,0.31700084,11.951555,-0.8180521,2.8304133,2.3179715,5.568095
XC205241,-353.6368,140.08693,-10.656883,-26.610613,-16.461344,-0.057520483,-8.543345,-12.60865,-11.405124,-4.4602237,-10.849893,-8.152836,-5.9529867,-6.961529,-5.4825916,-3.4740412,-4.94811,-3.0274022,-3.1481252,-2.806609
XC205240,-354.47733,132.44916,-11.936745,-24.456911,-15.262108,-1.2522963,-8.144434,-13.695864,-11.546396,-3.3110774,-11.102961,-7.317918,-4.8441377,-6.500287,-5.00092,-3.805436,-5.2440476,-2.958005,-2.8557198,-3.243423
XC131445,-370.32465,115.98691,-43.6736,-16.323915,-11.939488,-3.0973372,-22.427017,-20.547215,-18.282997,-4.831927,-18.209143,-16.193844,-15.703897,-7.8833513,-13.494467,-8.418402,-12.875351,-9.476408,-9.944508,-2.601846
XC413030,-431.21613,86.715675,-29.493578,-10.041964,5.5483146,17.807676,-12.219197,-3.7735364,-10.70541,5.006016,-10.0451765,-4.001082,-1.646254,-3.2116659,-5.5031323,0.31393042,-9.987099,-9.336627,-4.254677,-2.3499393
XC114561,-281.27716,61.76031,-47.880466,-18.062504,-32.109512,-1.6318693,-16.906454,-26.505476,-17.248957,-1.4670964,-16.27145,-3.035627,-2.0352132,-5.7290173,-3.7205188,1.5149285,-8.92141,2.574901,-4.2600527,-2.6525629
